FechaVencimiento,Precio_COP/kWh_0-7,Precio_COP/kWh_7-17,Precio_COP/kWh_17-23,Precio_COP/kWh_Dia
2022-01-31,259.4960258064516,300.0061709677419,306.20700276497695,289.99928790322576
2022-02-28,356.40595765306125,417.6522214285714,415.3140035714286,399.10674761904767
2022-03-31,199.0376792626728,236.7623451612903,240.91807557603687,226.9714056451613
2022-04-30,122.91199714285715,155.44813666666667,146.88255904761905,143.46013583333334
2022-05-31,96.7136603686636,108.35685161290321,109.46986774193549,105.2855505376344
2022-06-30,99.30333999999999,106.65052999999999,105.01994476190477,104.03201222222222
2022-07-31,105.11327004608295,109.84045161290322,112.62643133640552,109.27426774193549
2022-08-31,139.8374202764977,155.2659193548387,155.59136958525346,150.86086344086021
2022-09-30,184.54491761904762,270.5281733333333,275.96186523809524,247.03455055555557
2022-10-31,228.50175898617513,323.05455806451613,332.29801244239627,298.17266586021503
2022-11-30,144.26211,202.65801666666667,199.3473719047619,184.6602725
2022-12-31,307.0477073732719,349.31639354838705,352.02079953917047,337.776811827957
2023-01-31,321.65166958525344,388.5905741935484,397.9868262672811,371.8073005376344
2023-02-28,457.9400045918367,555.0448714285715,556.9019892857143,527.2642779761906
2023-03-31,243.42513778801842,311.25040000000007,312.65234976958527,291.8769338709678
2023-04-30,196.0641757142857,240.79333,238.28274238095236,227.01507194444446
2023-05-31,486.19347741935485,597.9903967741935,607.3638599078341,568.1168887096775
2023-06-30,381.1534842857143,485.23660333333333,501.4343795238095,459.60337833333335
2023-07-31,447.71303594470044,542.5954161290323,564.9873861751151,521.4523798387097
2023-08-31,421.3295225806452,549.9620193548387,602.9921953917051,527.9113424731182
2023-09-30,991.8491642857142,1024.5320433333334,1033.1132357142858,1017.5023847222221
2023-10-31,910.7474156682027,1049.9095096774195,1073.4305769585253,1016.1808768817205
2023-11-30,328.0543319047619,545.5027033333333,611.3406033333334,501.2829825
2023-12-31,612.8790248847926,661.866935483871,688.5964764976959,655.3749110215055
2024-01-31,539.3079175115207,556.588129032258,580.7144705069124,558.5849169354839
2024-02-29,523.4045975369459,579.8507586206896,597.9019571428571,568.6522278735632
2024-03-31,600.5696525345622,616.2556677419354,654.7933622119816,622.9207408602151
2024-04-30,675.1507061904762,749.71132,820.3537538095238,748.5685175
2024-05-31,233.96389631336405,284.45939032258065,358.4109976958525,291.3007567204301
2024-06-30,217.77780619047618,276.3767466666667,347.5947061904762,280.0572938888889
2024-07-31,236.0259331797235,281.65290645161286,337.8361313364055,284.73181317204296
2024-08-31,514.7083585253456,569.8814193548387,617.2080774193549,567.5928852150538
2024-09-30,800.3633614285715,821.4209433333333,849.0376661904761,823.3340261111111
2024-10-31,1299.6228605990784,1506.0588483870968,1805.8444532258065,1545.375870967742
2024-11-30,819.9742295238095,1076.601325,1258.44482,1045.7614380555556
2024-12-31,646.9867410138249,737.5284483870968,839.2424552995392,740.7870357526882
2025-01-31,464.7385686635945,506.1458225806452,593.250729953917,519.4743048387097
2025-02-28,357.76243469387754,412.6396,523.5938428571428,428.9954142857143
2025-03-31,164.85686820276499,204.13287096774192,327.82013548387096,228.75282231182797
2025-04-30,118.06825142857141,129.19508333333334,184.02721333333332,141.94246194444443
2025-05-31,108.71703732718893,110.30558,169.625032718894,127.1437620967742
2025-06-30,106.72124000000001,107.49310999999999,128.41654,113.37064833333334
2025-07-31,109.04849861751151,118.67190322580646,182.7267843317972,134.5477505376344
2025-08-31,187.08281751152074,205.0440870967742,352.6877299539171,242.86811263440862
2025-09-30,197.53273285714286,245.59236666666666,458.12474714285713,293.5635844444444
2025-10-31,130.8025465437788,145.69099032258063,248.99237603686637,171.47809838709676
2025-11-30,163.1664880952381,192.60898,341.1890547619048,227.35744166666666
2025-12-31,247.2248396313364,269.52038387096775,323.78897327188935,278.8458553763441
2026-01-31,194.46808202764979,204.5102612903226,242.0120728110599,212.51932069892476
